Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
13,Girls,200 BR,SCM,216.49,201.09,185.59,177.89,170.09,162.39
13,Girls,50 FL,SCM,40.49,37.69,34.79,33.29,31.89,30.39
13,Girls,100 FL,SCM,87.19,80.99,74.69,71.59,68.49,65.39
13,Girls,200 FL,SCM,194.79,180.89,166.99,159.99,153.09,146.09
13,Girls,200 IM,SCM,195.19,181.29,167.29,160.39,153.39,146.39
13,Girls,400 IM,SCM,413.39,383.89,354.39,339.59,324.89,310.09
13,Boys,50 FR,SCM,25.79,26.99,28.19,29.49,31.89,34.39
13,Boys,100 FR,SCM,55.99,58.69,61.29,63.99,69.29,74.59
13,Boys,200 FR,SCM,122.49,128.29,134.09,139.99,151.59,163.29
13,Boys,400 FR,SCM,261.69,274.09,286.59,298.99,323.99,348.89
13,Boys,800 FR,SCM,541.39,567.09,592.89,618.69,670.19,721.79
13,Boys,1500 FR,SCM,1034.39,1083.59,1132.89,1182.09,1280.59,1379.09
13,Boys,50 BK,SCM,29.39,30.79,32.19,33.59,36.39,39.09
13,Boys,100 BK,SCM,61.59,64.59,67.49,70.39,76.29,82.19
13,Boys,200 BK,SCM,134.39,140.79,147.19,153.59,166.39,179.19
13,Boys,50 BR,SCM,33.59,35.19,36.79,38.39,41.59,44.69
13,Boys,100 BR,SCM,69.89,73.19,76.59,79.89,86.49,93.19
13,Boys,200 BR,SCM,151.59,158.89,166.09,173.29,187.69,202.19
13,Boys,50 FL,SCM,28.79,30.09,31.49,32.89,35.59,38.29
13,Boys,100 FL,SCM,61.09,64.09,66.99,69.89,75.69,81.49
13,Boys,200 FL,SCM,136.99,143.49,149.99,156.49,169.59,182.59
13,Boys,200 IM,SCM,136.49,142.99,149.49,155.99,168.99,181.99
13,Boys,400 IM,SCM,292.39,306.29,320.29,334.19,361.99,389.89
14,Girls,50 FR,SCM,36.09,33.49,30.99,29.69,28.39,27.09
14,Girls,100 FR,SCM,78.49,72.89,67.29,64.49,61.69,58.89
14,Girls,200 FR,SCM,169.99,157.79,145.69,139.59,133.59,127.49
14,Girls,400 FR,SCM,360.79,334.99,309.29,296.39,283.49,270.59
14,Girls,800 FR,SCM,745.59,692.29,639.09,612.49,585.79,559.19
14,Girls,1500 FR,SCM,1416.69,1315.49,1214.29,1163.69,1113.09,1062.59
14,Girls,50 BK,SCM,40.39,37.49,34.59,33.19,31.79,30.29
14,Girls,100 BK,SCM,85.29,79.19,73.09,70.09,66.99,63.99
14,Girls,200 BK,SCM,185.49,172.29,158.99,152.39,145.79,139.19
14,Girls,50 BR,SCM,46.49,43.19,39.89,38.19,36.59,34.89
14,Girls,100 BR,SCM,98.09,91.09,84.09,80.59,77.09,73.59
14,Girls,200 BR,SCM,211.09,195.99,180.89,173.39,165.89,158.29
14,Girls,50 FL,SCM,39.79,36.89,34.09,32.69,31.29,29.89
14,Girls,100 FL,SCM,84.99,78.89,72.79,69.79,66.79,63.69
14,Girls,200 FL,SCM,189.39,175.89,162.29,155.59,148.79,142.09
14,Girls,200 IM,SCM,190.69,177.09,163.39,156.59,149.79,142.99
14,Girls,400 IM,SCM,404.59,375.69,346.79,332.39,317.89,303.49
14,Boys,50 FR,SCM,24.79,25.89,27.09,28.29,30.69,32.99
14,Boys,100 FR,SCM,53.99,56.49,59.09,61.69,66.79,71.89
14,Boys,200 FR,SCM,118.19,123.79,129.39,134.99,146.29,157.49
14,Boys,400 FR,SCM,253.29,265.39,277.39,289.49,313.59,337.69
14,Boys,800 FR,SCM,525.99,551.09,576.09,601.19,651.29,701.29
14,Boys,1500 FR,SCM,1001.49,1049.09,1096.79,1144.49,1239.89,1335.29
14,Boys,50 BK,SCM,27.89,29.19,30.59,31.89,34.59,37.19
14,Boys,100 BK,SCM,59.09,61.99,64.79,67.59,73.19,78.79
14,Boys,200 BK,SCM,128.59,134.79,140.89,146.99,159.29,171.49
14,Boys,50 BR,SCM,31.99,33.49,34.99,36.49,39.59,42.59
14,Boys,100 BR,SCM,66.79,69.99,73.19,76.39,82.69,89.09
14,Boys,200 BR,SCM,145.29,152.19,159.09,166.09,179.89,193.69
14,Boys,50 FL,SCM,27.49,28.79,30.09,31.39,33.99,36.59
14,Boys,100 FL,SCM,58.39,61.19,63.99,66.79,72.29,77.89
14,Boys,200 FL,SCM,129.99,136.19,142.39,148.59,160.99,173.29
14,Boys,200 IM,SCM,130.89,137.19,143.39,149.59,162.09,174.59
14,Boys,400 IM,SCM,279.89,293.19,306.49,319.89,346.49,373.19
15,Girls,50 FR,SCM,35.59,33.09,30.59,29.29,27.99,26.69
15,Girls,100 FR,SCM,77.49,71.99,66.39,63.69,60.89,58.09
15,Girls,200 FR,SCM,167.19,155.29,143.39,137.39,131.39,125.39
15,Girls,400 FR,SCM,357.09,331.59,306.09,293.39,280.59,267.89
15,Girls,800 FR,SCM,734.89,682.39,629.89,603.69,577.39,551.19
15,Girls,1500 FR,SCM,1412.39,1311.49,1210.69,1160.19,1109.79,1059.29
15,Girls,100 BK,SCM,83.89,77.89,71.89,68.89,65.89,62.89
15,Girls,200 BK,SCM,182.19,169.19,156.19,149.59,143.09,136.59
15,Girls,100 BR,SCM,96.69,89.79,82.89,79.39,75.99,72.49
15,Girls,200 BR,SCM,207.89,193.09,178.19,170.79,163.39,155.99
15,Girls,100 FL,SCM,83.69,77.79,71.79,68.79,65.79,62.79
15,Girls,200 FL,SCM,185.89,172.59,159.29,152.69,146.09,139.39
15,Girls,200 IM,SCM,186.69,173.29,159.99,153.39,146.69,139.99
15,Girls,400 IM,SCM,400.89,372.29,343.59,329.29,314.99,300.69
15,Boys,50 FR,SCM,23.89,25.09,26.19,27.29,29.59,31.89
15,Boys,100 FR,SCM,52.49,54.99,57.49,59.99,64.99,69.99
15,Boys,200 FR,SCM,114.59,120.09,125.59,130.99,141.89,152.79
15,Boys,400 FR,SCM,246.99,258.69,270.49,282.29,305.79,329.29
15,Boys,800 FR,SCM,514.29,538.79,563.29,587.79,636.79,685.69
15,Boys,1500 FR,SCM,974.89,1021.29,1067.69,1114.09,1206.99,1299.79
15,Boys,100 BK,SCM,57.59,60.29,63.09,65.79,71.29,76.79
15,Boys,200 BK,SCM,125.79,131.79,137.79,143.79,155.79,167.69
15,Boys,100 BR,SCM,65.09,68.19,71.29,74.39,80.59,86.79
15,Boys,200 BR,SCM,142.09,148.89,155.69,162.39,175.99,189.49
15,Boys,100 FL,SCM,56.89,59.69,62.39,65.09,70.49,75.89
15,Boys,200 FL,SCM,127.59,133.69,139.79,145.79,157.99,170.09
15,Boys,200 IM,SCM,127.79,133.89,139.99,146.09,158.19,170.39
15,Boys,400 IM,SCM,274.79,287.89,300.99,313.99,340.19,366.39
16,Girls,50 FR,SCM,35.29,32.79,30.29,28.99,27.79,26.49
16,Girls,100 FR,SCM,76.59,71.19,65.69,62.99,60.19,57.49
16,Girls,200 FR,SCM,165.09,153.29,141.49,135.59,129.69,123.79
16,Girls,400 FR,SCM,352.29,327.19,301.99,289.39,276.79,264.29
16,Girls,800 FR,SCM,733.39,681.09,628.69,602.49,576.29,550.09
16,Girls,1500 FR,SCM,1394.89,1295.29,1195.69,1145.79,1095.99,1046.19
16,Girls,100 BK,SCM,82.89,76.89,70.99,68.09,65.09,62.19
16,Girls,200 BK,SCM,179.59,166.69,153.89,147.49,141.09,134.69
16,Girls,100 BR,SCM,95.69,88.79,81.99,78.59,75.19,71.79
16,Girls,200 BR,SCM,207.09,192.39,177.59,170.19,162.79,155.39
16,Girls,100 FL,SCM,82.59,76.69,70.79,67.89,64.89,61.99
16,Girls,200 FL,SCM,183.79,170.69,157.59,150.99,144.49,137.89
16,Girls,200 IM,SCM,184.89,171.69,158.49,151.89,145.29,138.69
16,Girls,400 IM,SCM,395.79,367.49,339.29,325.09,310.99,296.89
16,Boys,50 FR,SCM,23.59,24.69,25.79,26.99,29.19,31.39
16,Boys,100 FR,SCM,51.69,54.19,56.59,59.09,63.99,68.89
16,Boys,200 FR,SCM,112.99,118.29,123.69,129.09,139.79,150.59
16,Boys,400 FR,SCM,243.09,254.69,266.29,277.79,300.99,324.09
16,Boys,800 FR,SCM,506.49,530.59,554.79,578.89,627.09,675.29
16,Boys,1500 FR,SCM,959.19,1004.89,1050.49,1096.19,1187.59,1278.89
16,Boys,100 BK,SCM,56.19,58.89,61.49,64.19,69.49,74.89
16,Boys,200 BK,SCM,123.09,128.89,134.79,140.59,152.29,164.09
16,Boys,100 BR,SCM,63.79,66.79,69.89,72.89,78.99,85.09
16,Boys,200 BR,SCM,138.49,145.09,151.69,158.29,171.39,184.59
16,Boys,100 FL,SCM,55.79,58.39,61.09,63.69,68.99,74.29
16,Boys,200 FL,SCM,124.89,130.89,136.79,142.79,154.69,166.59
16,Boys,200 IM,SCM,125.39,131.39,137.29,143.29,155.19,167.19
16,Boys,400 IM,SCM,268.49,281.19,293.99,306.79,332.39,357.89
17,Girls,50 FR,SCM,35.09,32.59,30.09,28.79,27.59,26.29
17,Girls,100 FR,SCM,76.09,70.69,65.19,62.49,59.79,57.09
17,Girls,200 FR,SCM,164.59,152.79,141.09,135.19,129.29,123.39
17,Girls,400 FR,SCM,351.49,326.39,301.29,288.69,276.19,263.59
17,Girls,800 FR,SCM,727.09,675.19,623.29,597.29,571.29,545.39
17,Girls,1500 FR,SCM,1387.39,1288.29,1189.19,1139.69,1090.09,1040.59
17,Girls,100 BK,SCM,82.29,76.39,70.59,67.59,64.69,61.69
17,Girls,200 BK,SCM,178.59,165.79,153.09,146.69,140.29,133.99
17,Girls,100 BR,SCM,94.59,87.79,81.09,77.69,74.29,70.89
17,Girls,200 BR,SCM,206.39,191.69,176.89,169.59,162.19,154.79
17,Girls,100 FL,SCM,81.89,75.99,70.19,67.29,64.39,61.39
