standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,12,girls,50 fr,scy,34.09,31.69,29.39,28.19,26.99,25.79
single_age,,12,girls,100 fr,scy,74.69,69.39,64.09,61.39,58.69,56.09
single_age,,12,girls,200 fr,scy,163.39,151.69,139.99,134.19,128.39,122.49
single_age,,12,girls,500 fr,scy,437.29,406.09,374.89,359.19,343.59,327.99
single_age,,12,girls,1000 fr,scy,902.69,838.19,773.79,741.49,709.29,676.99
single_age,,12,girls,1650 fr,scy,1507.39,1399.69,1292.09,1238.19,1184.39,1130.59
single_age,,12,girls,50 bk,scy,38.79,36.09,33.29,31.89,30.49,29.09
single_age,,12,girls,100 bk,scy,86.59,79.79,72.99,69.59,66.19,62.69
single_age,,12,girls,200 bk,scy,180.09,167.19,154.39,147.89,141.49,135.09
single_age,,12,girls,50 br,scy,43.99,40.89,37.69,36.19,34.59,32.99
single_age,,12,girls,100 br,scy,96.49,89.39,82.19,78.69,75.09,71.49
single_age,,12,girls,200 br,scy,205.89,191.19,176.49,169.09,161.79,154.39
single_age,,12,girls,50 fl,scy,36.99,34.29,31.69,30.39,29.09,27.79
single_age,,12,girls,100 fl,scy,86.09,79.19,72.29,68.89,65.49,61.99
single_age,,12,girls,200 fl,scy,183.39,170.29,157.19,150.59,144.09,137.59
single_age,,12,girls,100 im,scy,85.29,79.19,73.09,70.09,66.99,63.99
single_age,,12,girls,200 im,scy,183.99,170.79,157.69,151.09,144.59,137.99
single_age,,12,girls,400 im,scy,392.29,364.29,336.29,322.29,308.29,294.29
single_age,,12,boys,50 fr,scy,24.59,25.79,26.99,28.09,30.49,32.79
single_age,,12,boys,100 fr,scy,53.69,56.19,58.79,61.29,66.39,71.49
single_age,,12,boys,200 fr,scy,116.99,122.59,128.19,133.69,144.89,155.99
single_age,,12,boys,500 fr,scy,314.99,329.99,344.99,359.99,389.99,419.89
single_age,,12,boys,1000 fr,scy,662.59,694.19,725.79,757.29,820.39,883.49
single_age,,12,boys,1650 fr,scy,1101.49,1153.89,1206.39,1258.79,1363.69,1468.59
single_age,,12,boys,50 bk,scy,28.19,29.69,31.19,32.69,35.59,38.49
single_age,,12,boys,100 bk,scy,59.49,62.79,65.99,69.29,75.69,82.19
single_age,,12,boys,200 bk,scy,129.69,135.89,141.99,148.19,160.49,172.89
single_age,,12,boys,50 br,scy,31.49,33.29,34.99,36.69,40.09,43.49
single_age,,12,boys,100 br,scy,67.79,71.39,74.89,78.39,85.49,92.59
single_age,,12,boys,200 br,scy,147.39,154.39,161.39,168.39,182.39,196.49
single_age,,12,boys,50 fl,scy,26.69,28.19,29.69,31.19,34.19,37.09
