Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
14,Girls,100 BK,SCY,77.19,71.69,66.19,63.39,60.69,57.89
14,Girls,200 BK,SCY,167.89,155.89,143.89,137.89,131.89,125.99
14,Girls,50 BR,SCY,42.09,39.09,36.09,34.59,33.09,31.59
14,Girls,100 BR,SCY,88.69,82.39,76.09,72.89,69.69,66.59
14,Girls,200 BR,SCY,190.99,177.39,163.79,156.89,150.09,143.29
14,Girls,50 FL,SCY,35.99,33.39,30.89,29.59,28.29,26.99
14,Girls,100 FL,SCY,76.89,71.39,65.89,63.19,60.39,57.69
14,Girls,200 FL,SCY,171.39,159.19,146.89,140.79,134.69,128.59
14,Girls,200 IM,SCY,172.49,160.19,147.89,141.69,135.59,129.39
14,Girls,400 IM,SCY,366.19,339.99,313.89,300.79,287.69,274.59
14,Boys,50 FR,SCY,22.39,23.49,24.59,25.59,27.69,29.89
14,Boys,100 FR,SCY,48.79,51.19,53.49,55.79,60.39,65.09
14,Boys,200 FR,SCY,106.89,111.99,117.09,122.19,132.39,142.59
14,Boys,500 FR,SCY,289.49,303.29,317.09,330.79,358.39,385.99
14,Boys,1000 FR,SCY,601.19,629.79,658.39,686.99,744.29,801.49
14,Boys,1650 FR,SCY,1007.49,1055.49,1103.49,1151.39,1247.39,1343.29
14,Boys,50 BK,SCY,25.29,26.49,27.69,28.89,31.29,33.69
14,Boys,100 BK,SCY,53.49,56.09,58.59,61.19,66.29,71.39
14,Boys,200 BK,SCY,116.39,121.99,127.49,132.99,144.09,155.19
14,Boys,50 BR,SCY,28.89,30.29,31.69,33.09,35.79,38.59
14,Boys,100 BR,SCY,60.49,63.39,66.19,69.09,74.89,80.59
14,Boys,200 BR,SCY,131.49,137.79,143.99,150.29,162.79,175.29
14,Boys,50 FL,SCY,24.89,26.09,27.29,28.39,30.79,33.19
14,Boys,100 FL,SCY,52.89,55.39,57.89,60.39,65.49,70.49
14,Boys,200 FL,SCY,117.69,123.29,128.89,134.49,145.69,156.89
14,Boys,200 IM,SCY,118.49,124.09,129.79,135.39,146.69,157.99
14,Boys,400 IM,SCY,253.29,265.39,277.39,289.49,313.59,337.69
15,Girls,50 FR,SCY,32.29,29.99,27.69,26.49,25.39,24.19
