Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
14,Girls,50 FL,SCY,35.99,33.39,30.89,29.59,28.29,26.99
14,Girls,100 FL,SCY,1:16.89,1:11.39,1:05.89,1:03.19,1:00.39,57.69
14,Girls,200 FL,SCY,2:51.39,2:39.19,2:26.89,2:20.79,2:14.69,2:08.59
14,Girls,200 IM,SCY,2:52.49,2:40.19,2:27.89,2:21.69,2:15.59,2:09.39
14,Girls,400 IM,SCY,6:06.19,5:39.99,5:13.89,5:00.79,4:47.69,4:34.59
14,Boys,50 FR,SCY,22.39,23.49,24.59,25.59,27.69,29.89
14,Boys,100 FR,SCY,48.79,51.19,53.49,55.79,1:00.39,1:05.09
14,Boys,200 FR,SCY,1:46.89,1:51.99,1:57.09,2:02.19,2:12.39,2:22.59
14,Boys,500 FR,SCY,4:49.49,5:03.29,5:17.09,5:30.79,5:58.39,6:25.99
14,Boys,1000 FR,SCY,10:01.19,10:29.79,10:58.39,11:26.99,12:24.29,13:21.49
14,Boys,1650 FR,SCY,16:47.49,17:35.49,18:23.49,19:11.39,20:47.39,22:23.29
14,Boys,50 BK,SCY,25.29,26.49,27.69,28.89,31.29,33.69
14,Boys,100 BK,SCY,53.49,56.09,58.59,1:01.19,1:06.29,1:11.39
14,Boys,200 BK,SCY,1:56.39,2:01.99,2:07.49,2:12.99,2:24.09,2:35.19
14,Boys,50 BR,SCY,28.89,30.29,31.69,33.09,35.79,38.59
14,Boys,100 BR,SCY,1:00.49,1:03.39,1:06.19,1:09.09,1:14.89,1:20.59
14,Boys,200 BR,SCY,2:11.49,2:17.79,2:23.99,2:30.29,2:42.79,2:55.29
14,Boys,50 FL,SCY,24.89,26.09,27.29,28.39,30.79,33.19
14,Boys,100 FL,SCY,52.89,55.39,57.89,1:00.39,1:05.49,1:10.49
14,Boys,200 FL,SCY,1:57.69,2:03.29,2:08.89,2:14.49,2:25.69,2:36.89
14,Boys,200 IM,SCY,1:58.49,2:04.09,2:09.79,2:15.39,2:26.69,2:37.99
14,Boys,400 IM,SCY,4:13.29,4:25.39,4:37.39,4:49.49,5:13.59,5:37.69
15,Girls,50 FR,SCY,32.29,29.99,27.69,26.49,25.39,24.19
15,Girls,100 FR,SCY,1:10.09,1:05.09,1:00.09,57.59,55.09,52.59
15,Girls,200 FR,SCY,2:31.39,2:20.49,2:09.69,2:04.29,1:58.89,1:53.49
15,Girls,500 FR,SCY,6:48.19,6:18.99,5:49.89,5:35.29,5:20.69,5:06.09
15,Girls,1000 FR,SCY,13:59.89,12:59.89,11:59.89,11:29.89,10:59.89,10:29.89
15,Girls,1650 FR,SCY,23:40.99,21:59.49,20:17.99,19:27.19,18:36.49,17:45.69
15,Girls,100 BK,SCY,1:15.89,1:10.49,1:05.09,1:02.39,59.69,56.99
15,Girls,200 BK,SCY,2:44.89,2:33.09,2:21.29,2:15.39,2:09.49,2:03.69
15,Girls,100 BR,SCY,1:27.49,1:21.19,1:14.99,1:11.89,1:08.69,1:05.59
15,Girls,200 BR,SCY,3:08.19,2:54.69,2:41.29,2:34.59,2:27.89,2:21.19
15,Girls,100 FL,SCY,1:15.79,1:10.39,1:04.99,1:02.29,59.59,56.79
15,Girls,200 FL,SCY,2:48.19,2:36.19,2:24.19,2:18.19,2:12.19,2:06.19
15,Girls,200 IM,SCY,2:48.89,2:36.89,2:24.79,2:18.79,2:12.69,2:06.69
15,Girls,400 IM,SCY,6:02.79,5:36.89,5:10.99,4:57.99,4:45.09,4:32.09
15,Boys,50 FR,SCY,21.69,22.69,23.69,24.69,26.79,28.89
