standard_type,age_group,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
age_group,13-14,boys,50,fr,1,scy,29.89,27.69,25.59,24.59,23.49,22.39
age_group,13-14,boys,100,fr,1,scy,64.99,60.29,55.69,53.39,51.09,48.69
age_group,13-14,boys,200,fr,1,scy,142.49,132.29,122.19,117.09,111.99,106.89
age_group,13-14,boys,500,fr,1,scy,385.69,358.19,330.59,316.89,303.09,289.29
age_group,13-14,boys,1000,fr,1,scy,797.99,740.99,683.99,655.49,626.99,598.49
age_group,13-14,boys,1650,fr,1,scy,1342.89,1246.99,1151.09,1103.09,1055.19,1007.19
age_group,13-14,boys,50,bk,2,scy,33.69,31.29,28.89,27.69,26.49,25.29
age_group,13-14,boys,100,bk,2,scy,71.29,66.19,61.09,58.59,55.99,53.49
age_group,13-14,boys,200,bk,2,scy,154.69,143.69,132.59,127.09,121.59,115.99
age_group,13-14,boys,50,br,3,scy,38.59,35.79,33.09,31.69,30.29,28.89
age_group,13-14,boys,100,br,3,scy,80.49,74.79,68.99,66.19,63.29,60.39
age_group,13-14,boys,200,br,3,scy,174.89,162.39,149.89,143.59,137.39,131.19
age_group,13-14,boys,50,fl,4,scy,33.19,30.79,28.39,27.19,26.09,24.89
age_group,13-14,boys,100,fl,4,scy,70.49,65.49,60.39,57.89,55.39,52.89
age_group,13-14,boys,200,fl,4,scy,156.79,145.59,134.39,128.79,123.19,117.59
age_group,13-14,boys,200,im,5,scy,157.99,146.69,135.39,129.79,124.09,118.49
age_group,13-14,boys,400,im,5,scy,337.69,313.59,289.49,277.39,265.39,253.29
age_group,13-14,boys,200,fr-r,6,scy,124.89,115.99,107.09,102.59,98.19,93.69
age_group,13-14,boys,400,fr-r,6,scy,273.19,253.69,234.19,224.39,214.59,204.89
age_group,13-14,boys,800,fr-r,6,scy,604.39,561.19,517.99,496.39,474.89,453.29
age_group,13-14,boys,200,med-r,7,scy,138.19,128.39,118.49,113.59,108.59,103.69
age_group,13-14,boys,400,med-r,7,scy,299.29,277.89,256.49,245.89,235.19,224.49
age_group,15-16,girls,50,fr,1,scy,31.79,29.49,27.29,26.09,24.99,23.89
age_group,15-16,girls,100,fr,1,scy,68.79,63.79,58.89,56.49,53.99,51.59
age_group,15-16,girls,200,fr,1,scy,148.99,138.39,127.69,122.39,117.09,111.79
age_group,15-16,girls,500,fr,1,scy,400.99,372.39,343.69,329.39,315.09,300.79
age_group,15-16,girls,1000,fr,1,scy,832.89,773.49,713.99,684.19,654.49,624.69
age_group,15-16,girls,1650,fr,1,scy,1395.89,1296.19,1196.49,1146.69,1096.79,1046.89
age_group,15-16,girls,100,bk,2,scy,74.69,69.39,64.09,61.39,58.69,56.09
age_group,15-16,girls,200,bk,2,scy,162.19,150.59,139.09,133.29,127.49,121.69
age_group,15-16,girls,100,br,3,scy,85.89,79.79,73.69,70.59,67.49,64.49
age_group,15-16,girls,200,br,3,scy,185.99,172.69,159.39,152.79,146.19,139.49
age_group,15-16,girls,100,fl,4,scy,74.39,69.09,63.79,61.09,58.39,55.79
age_group,15-16,girls,200,fl,4,scy,165.79,153.99,142.09,136.19,130.29,124.39
age_group,15-16,girls,200,im,5,scy,166.19,154.29,142.39,136.49,130.59,124.59
age_group,15-16,girls,400,im,5,scy,354.99,329.69,304.29,291.59,278.99,266.29
age_group,15-16,girls,200,fr-r,6,scy,135.19,125.59,115.89,111.09,106.29,101.39
age_group,15-16,girls,400,fr-r,6,scy,294.89,273.79,252.79,242.29,231.69,221.19
age_group,15-16,girls,800,fr-r,6,scy,647.79,601.59,555.29,532.19,508.99,485.89
age_group,15-16,girls,200,med-r,7,scy,148.09,137.49,126.99,121.69,116.39,111.09
age_group,15-16,girls,400,med-r,7,scy,323.29,300.19,277.09,265.59,253.99,242.49
age_group,15-16,boys,50,fr,1,scy,28.29,26.29,24.19,23.19,22.19,21.19
age_group,15-16,boys,100,fr,1,scy,61.99,57.59,53.19,50.99,48.79,46.49
age_group,15-16,boys,200,fr,1,scy,135.99,126.29,116.59,111.79,106.89,101.99
age_group,15-16,boys,500,fr,1,scy,368.39,342.09,315.79,302.69,289.49,276.29
age_group,15-16,boys,1000,fr,1,scy,771.79,716.69,661.59,633.99,606.39,578.89
age_group,15-16,boys,1650,fr,1,scy,1286.59,1194.69,1102.79,1056.89,1010.89,964.99
age_group,15-16,boys,100,bk,2,scy,67.49,62.69,57.89,55.49,53.09,50.69
age_group,15-16,boys,200,bk,2,scy,147.59,137.09,126.59,121.29,115.99,110.69
age_group,15-16,boys,100,br,3,scy,76.89,71.39,65.89,63.19,60.39,57.69
age_group,15-16,boys,200,br,3,scy,167.09,155.19,143.19,137.29,131.29,125.29
age_group,15-16,boys,100,fl,4,scy,67.19,62.39,57.59,55.19,52.79,50.39
age_group,15-16,boys,200,fl,4,scy,150.19,139.49,128.79,123.39,118.09,112.69
age_group,15-16,boys,200,im,5,scy,150.89,140.19,129.39,123.99,118.59,113.19
age_group,15-16,boys,400,im,5,scy,322.19,299.19,276.19,264.69,253.19,241.59
age_group,15-16,boys,200,fr-r,6,scy,121.79,113.09,104.39,100.09,95.69,91.39
age_group,15-16,boys,400,fr-r,6,scy,268.79,249.59,230.39,220.79,211.19,201.59
age_group,15-16,boys,800,fr-r,6,scy,597.09,554.39,511.79,490.39,469.09,447.79
age_group,15-16,boys,200,med-r,7,scy,134.19,124.59,114.99,110.19,105.49,100.69
age_group,15-16,boys,400,med-r,7,scy,294.19,273.19,252.19,241.69,231.19,220.69
age_group,17-18,girls,50,fr,1,scy,31.39,29.09,26.89,25.79,24.69,23.49
age_group,17-18,girls,100,fr,1,scy,68.09,63.19,58.39,55.89,53.49,51.09
age_group,17-18,girls,200,fr,1,scy,147.19,136.69,126.19,120.89,115.69,110.39
age_group,17-18,girls,500,fr,1,scy,396.49,368.19,339.89,325.69,311.59,297.39
age_group,17-18,girls,1000,fr,1,scy,826.09,767.09,708.09,678.59,649.09,619.59
age_group,17-18,girls,1650,fr,1,scy,1367.19,1269.59,1171.89,1123.09,1074.29,1025.39
age_group,17-18,girls,100,bk,2,scy,73.39,68.09,62.89,60.29,57.69,54.99
age_group,17-18,girls,200,bk,2,scy,158.79,147.39,136.09,130.39,124.79,119.09
age_group,17-18,girls,100,br,3,scy,84.79,78.79,72.69,69.69,66.69,63.59
age_group,17-18,girls,200,br,3,scy,184.69,171.49,158.29,151.69,145.09,138.49
age_group,17-18,girls,100,fl,4,scy,73.59,68.29,63.09,60.39,57.79,55.19
age_group,17-18,girls,200,fl,4,scy,162.79,151.19,139.49,133.69,127.89,122.09
age_group,17-18,girls,200,im,5,scy,163.59,151.89,140.19,134.39,128.49,122.69
age_group,17-18,girls,400,im,5,scy,350.69,325.59,300.59,287.99,275.49,262.99
age_group,17-18,girls,200,fr-r,6,scy,134.69,125.09,115.39,110.59,105.79,100.99
age_group,17-18,girls,400,fr-r,6,scy,289.49,268.79,248.19,237.79,227.49,217.19
age_group,17-18,girls,800,fr-r,6,scy,632.29,587.19,541.99,519.39,496.79,474.29
age_group,17-18,girls,200,med-r,7,scy,146.89,136.39,125.89,120.69,115.39,110.19
age_group,17-18,girls,400,med-r,7,scy,320.29,297.39,274.49,263.09,251.69,240.19
age_group,17-18,boys,50,fr,1,scy,27.59,25.59,23.59,22.59,21.69,20.69
age_group,17-18,boys,100,fr,1,scy,60.29,55.99,51.69,49.59,47.39,45.29
age_group,17-18,boys,200,fr,1,scy,133.59,123.99,114.49,109.69,104.99,100.19
age_group,17-18,boys,500,fr,1,scy,363.19,337.29,311.39,298.39,285.39,272.39
age_group,17-18,boys,1000,fr,1,scy,760.19,705.89,651.59,624.49,597.29,570.19
age_group,17-18,boys,1650,fr,1,scy,1268.99,1178.39,1087.69,1042.39,997.09,951.79
age_group,17-18,boys,100,bk,2,scy,65.19,60.59,55.89,53.59,51.29,48.89
age_group,17-18,boys,200,bk,2,scy,143.89,133.59,123.29,118.19,113.09,107.89
age_group,17-18,boys,100,br,3,scy,74.69,69.39,63.99,61.39,58.69,55.99
age_group,17-18,boys,200,br,3,scy,162.29,150.69,139.09,133.29,127.49,121.69
age_group,17-18,boys,100,fl,4,scy,65.39,60.79,56.09,53.69,51.39,49.09
age_group,17-18,boys,200,fl,4,scy,146.39,135.99,125.49,120.29,115.09,109.79
age_group,17-18,boys,200,im,5,scy,147.39,136.89,126.39,121.09,115.89,110.59
age_group,17-18,boys,400,im,5,scy,317.39,294.69,271.99,260.69,249.39,237.99
age_group,17-18,boys,200,fr-r,6,scy,115.59,107.29,99.09,94.89,90.79,86.69
age_group,17-18,boys,400,fr-r,6,scy,253.79,235.69,217.49,208.49,199.39,190.39
age_group,17-18,boys,800,fr-r,6,scy,563.89,523.69,483.39,463.19,443.09,422.99
age_group,17-18,boys,200,med-r,7,scy,126.29,117.19,108.19,103.69,99.19,94.69
age_group,17-18,boys,400,med-r,7,scy,276.79,257.09,237.29,227.39,217.49,207.59
age_group,10 & under,girls,50,fr,1,scm,43.99,39.79,35.49,34.09,32.69,31.29
age_group,10 & under,girls,100,fr,1,scm,100.29,89.69,78.99,75.39,71.89,68.29
age_group,10 & under,girls,200,fr,1,scm,223.99,199.49,174.99,166.79,158.59,150.39
age_group,10 & under,girls,400,fr,1,scm,452.19,406.89,361.69,346.69,331.59,316.49
age_group,10 & under,girls,50,bk,2,scm,53.69,47.79,41.89,39.99,37.99,36.09
age_group,10 & under,girls,100,bk,2,scm,116.89,103.89,90.89,86.59,82.29,77.99
age_group,10 & under,girls,50,br,3,scm,60.29,53.79,47.29,45.09,42.99,40.79
age_group,10 & under,girls,100,br,3,scm,132.89,118.19,103.39,98.49,93.59,88.69
age_group,10 & under,girls,50,fl,4,scm,53.49,47.19,40.89,38.79,36.69,34.59
age_group,10 & under,girls,100,fl,4,scm,128.89,112.09,95.19,89.49,83.89,78.29
age_group,10 & under,girls,100,im,5,scm,115.19,102.99,90.69,86.59,82.49,78.39
age_group,10 & under,girls,200,im,5,scm,245.39,219.59,193.89,185.29,176.79,168.19
age_group,10 & under,girls,200,fr-r,6,scm,191.39,172.19,153.09,146.69,140.29,133.99
age_group,10 & under,girls,200,med-r,7,scm,215.49,193.89,172.39,165.19,157.99,150.79
age_group,10 & under,boys,50,fr,1,scm,42.19,38.19,34.29,32.99,31.69,30.39
age_group,10 & under,boys,100,fr,1,scm,97.19,87.19,77.09,73.79,70.39,67.09
age_group,10 & under,boys,200,fr,1,scm,209.39,188.49,167.49,160.59,153.59,146.59
age_group,10 & under,boys,400,fr,1,scm,441.19,397.09,352.99,338.29,323.59,308.89
age_group,10 & under,boys,50,bk,2,scm,53.39,47.39,41.49,39.59,37.59,35.59
age_group,10 & under,boys,100,bk,2,scm,111.19,99.59,87.89,83.99,80.09,76.29
age_group,10 & under,boys,50,br,3,scm,58.99,52.79,46.49,44.39,42.29,40.19
age_group,10 & under,boys,100,br,3,scm,126.09,113.09,100.09,95.69,91.39,86.99
age_group,10 & under,boys,50,fl,4,scm,51.39,45.59,39.79,37.89,35.99,33.99
