standard_type,age_group,age,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
single_age,,16,boys,200,fr,1,scy,136.29,126.59,116.79,111.99,107.09,102.19
single_age,,16,girls,500,fr,1,scy,402.59,373.89,345.09,330.69,316.39,301.99
single_age,,16,boys,500,fr,1,scy,370.39,343.99,317.49,304.29,291.09,277.79
single_age,,16,girls,1000,fr,1,scy,838.19,778.39,718.49,688.49,658.59,628.69
single_age,,16,boys,1000,fr,1,scy,771.79,716.69,661.59,633.99,606.39,578.89
single_age,,16,girls,1650,fr,1,scy,1403.29,1303.09,1202.89,1152.79,1102.59,1052.49
single_age,,16,boys,1650,fr,1,scy,1286.59,1194.69,1102.79,1056.89,1010.89,964.99
single_age,,16,girls,100,bk,2,scy,74.99,69.59,64.29,61.59,58.89,56.29
single_age,,16,boys,100,bk,2,scy,67.79,62.89,58.09,55.69,53.29,50.79
single_age,,16,girls,200,bk,2,scy,162.49,150.89,139.29,133.49,127.69,121.89
single_age,,16,boys,200,bk,2,scy,148.49,137.89,127.29,121.99,116.69,111.39
single_age,,16,girls,100,br,3,scy,86.59,80.39,74.19,71.09,67.99,64.99
single_age,,16,boys,100,br,3,scy,76.99,71.49,65.99,63.19,60.49,57.79
single_age,,16,girls,200,br,3,scy,187.49,174.09,160.69,153.99,147.29,140.59
single_age,,16,boys,200,br,3,scy,167.09,155.19,143.19,137.29,131.29,125.29
single_age,,16,girls,100,fl,4,scy,74.79,69.39,64.09,61.39,58.79,56.09
single_age,,16,boys,100,fl,4,scy,67.29,62.49,57.69,55.29,52.89,50.49
single_age,,16,girls,200,fl,4,scy,166.39,154.49,142.59,136.69,130.69,124.79
single_age,,16,boys,200,fl,4,scy,150.69,139.99,129.19,123.79,118.39,113.09
single_age,,16,girls,200,im,5,scy,167.29,155.39,143.39,137.39,131.49,125.49
single_age,,16,boys,200,im,5,scy,151.29,140.49,129.69,124.29,118.89,113.49
single_age,,16,girls,400,im,5,scy,358.19,332.59,306.99,294.19,281.49,268.69
single_age,,16,boys,400,im,5,scy,323.89,300.79,277.69,266.09,254.49,242.99
single_age,,17,girls,50,fr,1,scy,31.79,29.49,27.19,26.09,24.99,23.79
single_age,,17,boys,50,fr,1,scy,28.09,26.09,24.09,23.09,22.09,21.09
single_age,,17,girls,100,fr,1,scy,68.89,63.99,58.99,56.59,54.09,51.69
single_age,,17,boys,100,fr,1,scy,61.39,56.99,52.59,50.39,48.29,46.09
single_age,,17,girls,200,fr,1,scy,148.89,138.29,127.69,122.29,116.99,111.69
single_age,,17,boys,200,fr,1,scy,135.39,125.69,115.99,111.19,106.39,101.49
single_age,,17,girls,500,fr,1,scy,401.69,372.99,344.29,329.99,315.59,301.29
single_age,,17,boys,500,fr,1,scy,367.29,341.09,314.89,301.69,288.59,275.49
