Age Group,Gender,Event,B,BB,A,AA,AAA,AAAA
15-16,Boys,200 FR-R LCM,2:19.89,2:09.89,1:59.89,1:54.89,1:49.89,1:44.89
15-16,Boys,400 FR-R LCM,5:06.49,4:44.69,4:22.79,4:11.79,4:00.89,3:49.89
15-16,Boys,800 FR-R LCM,11:23.49,10:34.69,9:45.79,9:21.39,8:56.99,8:32.59
15-16,Boys,200 MED-R LCM,2:35.09,2:23.99,2:12.89,2:07.39,2:01.89,1:56.29
15-16,Boys,400 MED-R LCM,5:41.19,5:16.79,4:52.39,4:40.19,4:28.09,4:15.89
17-18,Girls,50 FR LCM,35.89,33.29,30.69,29.49,28.19,26.89
17-18,Girls,100 FR LCM,1:17.69,1:12.19,1:06.59,1:03.89,1:01.09,58.29
17-18,Girls,200 FR LCM,2:47.69,2:35.69,2:23.69,2:17.69,2:11.69,2:05.79
17-18,Girls,400 FR LCM,5:53.39,5:28.19,5:02.99,4:50.29,4:37.69,4:25.09
17-18,Girls,800 FR LCM,12:10.29,11:18.19,10:25.99,9:59.89,9:33.79,9:07.79
17-18,Girls,1500 FR LCM,23:20.89,21:40.79,20:00.79,19:10.79,18:20.69,17:30.69
17-18,Girls,100 BK LCM,1:25.89,1:19.79,1:13.69,1:10.59,1:07.49,1:04.49
17-18,Girls,200 BK LCM,3:05.79,2:52.49,2:39.19,2:32.59,2:25.99,2:19.29
17-18,Girls,100 BR LCM,1:37.49,1:30.49,1:23.59,1:20.09,1:16.59,1:13.09
17-18,Girls,200 BR LCM,3:29.89,3:14.99,2:59.99,2:52.49,2:44.99,2:37.49
17-18,Girls,100 FL LCM,1:23.59,1:17.69,1:11.69,1:08.69,1:05.69,1:02.69
17-18,Girls,200 FL LCM,3:04.49,2:51.39,2:38.19,2:31.59,2:24.99,2:18.39
17-18,Girls,200 IM LCM,3:09.29,2:55.79,2:42.29,2:35.49,2:28.79,2:21.99
17-18,Girls,400 IM LCM,6:40.29,6:11.69,5:43.09,5:28.79,5:14.49,5:00.29
17-18,Girls,200 FR-R LCM,2:34.19,2:23.19,2:12.19,2:06.69,2:01.19,1:55.59
17-18,Girls,400 FR-R LCM,5:34.19,5:10.29,4:46.39,4:34.49,4:22.59,4:10.59
17-18,Girls,800 FR-R LCM,12:15.79,11:23.29,10:30.69,10:04.39,9:38.19,9:11.89
17-18,Girls,200 MED-R LCM,2:51.39,2:39.09,2:26.89,2:20.79,2:14.69,2:08.49
17-18,Girls,400 MED-R LCM,6:10.89,5:44.39,5:17.89,5:04.69,4:51.39,4:38.19
17-18,Boys,50 FR LCM,31.89,29.59,27.39,26.19,25.09,23.99
17-18,Boys,100 FR LCM,1:09.89,1:04.89,59.89,57.39,54.89,52.39
17-18,Boys,200 FR LCM,2:32.89,2:21.99,2:11.09,2:05.59,2:00.09,1:54.69
17-18,Boys,400 FR LCM,5:26.49,5:03.09,4:39.79,4:28.19,4:16.49,4:04.89
17-18,Boys,800 FR LCM,11:17.89,10:29.49,9:41.09,9:16.89,8:52.69,8:28.49
17-18,Boys,1500 FR LCM,21:45.79,20:12.49,18:39.29,17:52.59,17:05.99,16:19.39
17-18,Boys,100 BK LCM,1:17.49,1:11.99,1:06.49,1:03.69,1:00.89,58.19
17-18,Boys,200 BK LCM,2:49.19,2:37.09,2:24.99,2:18.99,2:12.89,2:06.89
17-18,Boys,100 BR LCM,1:26.69,1:20.59,1:14.39,1:11.29,1:08.19,1:05.09
17-18,Boys,200 BR LCM,3:09.19,2:55.69,2:42.19,2:35.39,2:28.59,2:21.89
17-18,Boys,100 FL LCM,1:14.59,1:09.29,1:03.99,1:01.29,58.69,55.99
17-18,Boys,200 FL LCM,2:46.99,2:35.09,2:23.19,2:17.19,2:11.29,2:05.29
17-18,Boys,200 IM LCM,2:51.89,2:39.59,2:27.39,2:21.19,2:15.09,2:08.99
17-18,Boys,400 IM LCM,6:07.59,5:41.29,5:15.09,5:01.89,4:48.79,4:35.69
17-18,Boys,200 FR-R LCM,2:14.59,2:04.99,1:55.39,1:50.59,1:45.79,1:40.99
17-18,Boys,400 FR-R LCM,4:53.99,4:32.99,4:11.99,4:01.49,3:50.99,3:40.49
17-18,Boys,800 FR-R LCM,10:54.49,10:07.69,9:20.99,8:57.59,8:34.19,8:10.89
17-18,Boys,200 MED-R LCM,2:28.49,2:17.89,2:07.29,2:01.99,1:56.69,1:51.39
17-18,Boys,400 MED-R LCM,5:23.89,5:00.79,4:37.59,4:26.09,4:14.49,4:02.89
