Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
15-16,Girls,800 FR-R,SCY,647.79,601.59,555.29,532.19,508.99,485.89
15-16,Girls,200 MED-R,SCY,148.09,137.49,126.99,121.69,116.39,111.09
15-16,Girls,400 MED-R,SCY,323.29,300.19,277.09,265.59,253.99,242.49
15-16,Boys,50 FR,SCY,21.19,22.19,23.19,24.19,26.29,28.29
15-16,Boys,100 FR,SCY,46.49,48.79,50.99,53.19,57.59,61.99
15-16,Boys,200 FR,SCY,101.99,106.89,111.79,116.59,126.29,135.99
15-16,Boys,500 FR,SCY,276.29,289.49,302.69,315.79,342.09,368.39
15-16,Boys,1000 FR,SCY,578.89,606.39,633.99,661.59,716.69,771.79
15-16,Boys,1650 FR,SCY,964.99,1010.89,1056.89,1102.79,1194.69,1286.59
15-16,Boys,100 BK,SCY,50.69,53.09,55.49,57.89,62.69,67.49
15-16,Boys,200 BK,SCY,110.69,115.99,121.29,126.59,137.09,147.59
15-16,Boys,100 BR,SCY,57.69,60.39,63.19,65.89,71.39,76.89
15-16,Boys,200 BR,SCY,125.29,131.29,137.29,143.19,155.19,167.09
15-16,Boys,100 FL,SCY,50.39,52.79,55.19,57.59,62.39,67.19
15-16,Boys,200 FL,SCY,112.69,118.09,123.39,128.79,139.49,150.19
15-16,Boys,200 IM,SCY,113.19,118.59,123.99,129.39,140.19,150.89
15-16,Boys,400 IM,SCY,241.59,253.19,264.69,276.19,299.19,322.19
15-16,Boys,200 FR-R,SCY,91.39,95.69,100.09,104.39,113.09,121.79
15-16,Boys,400 FR-R,SCY,201.59,211.19,220.79,230.39,249.59,268.79
15-16,Boys,800 FR-R,SCY,447.79,469.09,490.39,511.79,554.39,597.09
15-16,Boys,200 MED-R,SCY,100.69,105.49,110.19,114.99,124.59,134.19
15-16,Boys,400 MED-R,SCY,220.69,231.19,241.69,252.19,273.19,294.19
17-18,Girls,50 FR,SCY,31.39,29.09,26.89,25.79,24.69,23.49
17-18,Girls,100 FR,SCY,68.09,63.19,58.39,55.89,53.49,51.09
17-18,Girls,200 FR,SCY,147.19,136.69,126.19,120.89,115.69,110.39
