age_group,gender,distance,stroke,course,event_name,tags_time,bonus_time
11-12,Boys,200,IM,SC,200 IM,2:18.59,2:19.79
11-12,Boys,200,FR,SC,200 FR,1:46.79,
11-12,Boys,400,FR,SC,400 FR,3:55.59,
11-12,Boys,200,MR,SC,200 MR,1:59.19,
11-12,Boys,400,MR,SC,400 MR,4:24.59,
13-14,Boys,50,Fr,SC,50 Fr,23.39,23.69
13-14,Boys,100,Fr,SC,100 Fr,50.69,51.19
13-14,Boys,200,Fr,SC,200 Fr,1:49.59,1:50.09
13-14,Boys,500,Fr,SC,500 Fr,4:54.29,4:56.19
13-14,Boys,1000,Fr,SC,1000 Fr,10:12.89,10:16.99
13-14,Boys,1650,Fr,SC,1650 Fr,17:10.09,17:18.29
13-14,Boys,100,Bk,SC,100 Bk,55.69,56.99
13-14,Boys,200,Bk,SC,200 Bk,2:01.99,2:02.89
13-14,Boys,100,Br,SC,100 Br,1:03.99,1:04.39
13-14,Boys,200,Br,SC,200 Br,2:17.19,2:19.89
13-14,Boys,100,Fly,SC,100 Fly,55.09,55.49
13-14,Boys,200,Fly,SC,200 Fly,2:02.59,2:04.09
13-14,Boys,200,IM,SC,200 IM,2:03.69,2:04.19
13-14,Boys,400,IM,SC,400 IM,4:23.59,4:24.99
13-14,Boys,200,FR,SC,200 FR,1:35.09,
13-14,Boys,400,FR,SC,400 FR,3:26.79,
13-14,Boys,800,FR,SC,800 FR,7:35.99,
13-14,Boys,200,MR,SC,200 MR,1:44.99,
13-14,Boys,400,MR,SC,400 MR,3:50.89,
