age_group,gender,event,course,B,BB,A,AA,AAA,AAAA
11-12,Boys,200 FL,SCY,2:56.59,2:43.99,2:31.39,2:24.99,2:18.69,2:12.39
11-12,Boys,100 IM,SCY,1:21.89,1:15.89,1:09.99,1:06.99,1:03.99,1:01.09
11-12,Boys,200 IM,SCY,2:59.29,2:45.79,2:32.29,2:25.59,2:18.79,2:12.09
11-12,Boys,400 IM,SCY,6:17.09,5:50.09,5:23.19,5:09.79,4:56.29,4:42.79
11-12,Boys,200 FR-R,SCY,2:19.09,2:09.19,1:59.29,1:54.29,1:49.29,1:44.39
11-12,Boys,400 FR-R,SCY,5:06.79,4:44.79,4:22.89,4:11.99,4:00.99,3:50.09
11-12,Boys,200 MED-R,SCY,2:34.09,2:23.09,2:12.09,2:06.59,2:01.09,1:55.59
11-12,Boys,400 MED-R,SCY,5:39.79,5:15.49,4:51.19,4:39.09,4:26.99,4:14.79
13-14,Girls,50 FR,SCY,32.49,30.19,27.89,26.69,25.59,24.39
13-14,Girls,100 FR,SCY,1:10.99,1:05.89,1:00.89,58.29,55.79,53.29
13-14,Girls,200 FR,SCY,2:33.59,2:22.69,2:11.69,2:06.19,2:00.69,1:55.29
13-14,Girls,500 FR,SCY,6:52.19,6:22.79,5:53.39,5:38.59,5:23.89,5:09.19
13-14,Girls,1000 FR,SCY,14:11.09,13:10.29,12:09.49,11:39.09,11:08.69,10:38.29
13-14,Girls,1650 FR,SCY,23:42.89,22:01.19,20:19.59,19:28.79,18:37.99,17:47.19
13-14,Girls,50 BK,SCY,36.19,33.69,31.09,29.79,28.49,27.19
13-14,Girls,100 BK,SCY,1:16.89,1:11.39,1:05.89,1:03.19,1:00.49,57.69
13-14,Girls,200 BK,SCY,2:46.39,2:34.49,2:22.59,2:16.69,2:10.69,2:04.79
13-14,Girls,50 BR,SCY,42.09,39.09,36.09,34.59,33.09,31.59
13-14,Girls,100 BR,SCY,1:28.69,1:22.29,1:15.99,1:12.89,1:09.69,1:06.49
13-14,Girls,200 BR,SCY,3:10.99,2:57.39,2:43.79,2:36.89,2:30.09,2:23.29
13-14,Girls,50 FL,SCY,35.79,33.29,30.69,29.39,28.19,26.89
13-14,Girls,100 FL,SCY,1:16.79,1:11.29,1:05.89,1:03.09,1:00.39,57.59
13-14,Girls,200 FL,SCY,2:51.19,2:38.99,2:26.69,2:20.59,2:14.49,2:08.39
13-14,Girls,200 IM,SCY,2:51.79,2:39.49,2:27.19,2:21.09,2:14.99,2:08.79
13-14,Girls,400 IM,SCY,6:05.79,5:39.69,5:13.49,5:00.49,4:47.39,4:34.29
13-14,Girls,200 FR-R,SCY,2:16.29,2:06.59,1:56.89,1:51.99,1:47.09,1:42.29
13-14,Girls,400 FR-R,SCY,4:57.29,4:35.99,4:14.79,4:04.19,3:53.59,3:42.99
13-14,Girls,800 FR-R,SCY,10:49.19,10:02.79,9:16.39,8:53.29,8:30.09,8:06.89
13-14,Girls,200 MED-R,SCY,2:29.89,2:19.19,2:08.49,2:03.09,1:57.79,1:52.39
13-14,Girls,400 MED-R,SCY,5:26.89,5:03.59,4:40.19,4:28.59,4:16.89,4:05.19
13-14,Boys,50 FR,SCY,29.89,27.69,25.59,24.59,23.49,22.39
13-14,Boys,100 FR,SCY,1:04.99,1:00.29,55.69,53.39,51.09,48.69
13-14,Boys,200 FR,SCY,2:22.49,2:12.29,2:02.19,1:57.09,1:51.99,1:46.89
13-14,Boys,500 FR,SCY,6:25.69,5:58.19,5:30.59,5:16.89,5:03.09,4:49.29
13-14,Boys,1000 FR,SCY,13:17.99,12:20.99,11:23.99,10:55.49,10:26.99,9:58.49
13-14,Boys,1650 FR,SCY,22:22.89,20:46.99,19:11.09,18:23.09,17:35.19,16:47.19
13-14,Boys,50 BK,SCY,33.69,31.29,28.89,27.69,26.49,25.29
13-14,Boys,100 BK,SCY,1:11.29,1:06.19,1:01.09,58.59,55.99,53.49
13-14,Boys,200 BK,SCY,2:34.69,2:23.69,2:12.59,2:07.09,2:01.59,1:55.99
13-14,Boys,50 BR,SCY,38.59,35.79,33.09,31.69,30.29,28.89
13-14,Boys,100 BR,SCY,1:20.49,1:14.79,1:08.99,1:06.19,1:03.29,1:00.39
13-14,Boys,200 BR,SCY,2:54.89,2:42.39,2:29.89,2:23.59,2:17.39,2:11.19
13-14,Boys,50 FL,SCY,33.19,30.79,28.39,27.19,26.09,24.89
13-14,Boys,100 FL,SCY,1:10.49,1:05.49,1:00.39,57.89,55.39,52.89
13-14,Boys,200 FL,SCY,2:36.79,2:25.59,2:14.39,2:08.79,2:03.19,1:57.59
13-14,Boys,200 IM,SCY,2:37.99,2:26.69,2:15.39,2:09.79,2:04.09,1:58.49
13-14,Boys,400 IM,SCY,5:37.69,5:13.59,4:49.49,4:37.39,4:25.39,4:13.29
13-14,Boys,200 FR-R,SCY,2:04.89,1:55.99,1:47.09,1:42.59,1:38.19,1:33.69
13-14,Boys,400 FR-R,SCY,4:33.19,4:13.69,3:54.19,3:44.39,3:34.59,3:24.89
13-14,Boys,800 FR-R,SCY,10:04.39,9:21.19,8:37.99,8:16.39,7:54.89,7:33.29
13-14,Boys,200 MED-R,SCY,2:18.19,2:08.39,1:58.49,1:53.59,1:48.59,1:43.69
13-14,Boys,400 MED-R,SCY,4:59.29,4:37.89,4:16.49,4:05.89,3:55.19,3:44.49
15-16,Girls,50 FR,SCY,31.79,29.49,27.29,26.09,24.99,23.89
15-16,Girls,100 FR,SCY,1:08.79,1:03.79,58.89,56.49,53.99,51.59
15-16,Girls,200 FR,SCY,2:28.99,2:18.39,2:07.69,2:02.39,1:57.09,1:51.79
15-16,Girls,500 FR,SCY,6:40.99,6:12.39,5:43.69,5:29.39,5:15.09,5:00.79
15-16,Girls,1000 FR,SCY,13:52.89,12:53.49,11:53.99,11:24.19,10:54.49,10:24.69
15-16,Girls,1650 FR,SCY,23:15.89,21:36.19,19:56.49,19:06.69,18:16.79,17:26.89
15-16,Girls,100 BK,SCY,1:14.69,1:09.39,1:04.09,1:01.39,58.69,56.09
15-16,Girls,200 BK,SCY,2:42.19,2:30.59,2:19.09,2:13.29,2:07.49,2:01.69
15-16,Girls,100 BR,SCY,1:25.89,1:19.79,1:13.69,1:10.59,1:07.49,1:04.49
15-16,Girls,200 BR,SCY,3:05.99,2:52.69,2:39.39,2:32.79,2:26.19,2:19.49
15-16,Girls,100 FL,SCY,1:14.39,1:09.09,1:03.79,1:01.09,58.39,55.79
15-16,Girls,200 FL,SCY,2:45.79,2:33.99,2:22.09,2:16.19,2:10.29,2:04.39
15-16,Girls,200 IM,SCY,2:46.19,2:34.29,2:22.39,2:16.49,2:10.59,2:04.59
15-16,Girls,400 IM,SCY,5:54.99,5:29.69,5:04.29,4:51.59,4:38.99,4:26.29
15-16,Girls,200 FR-R,SCY,2:15.19,2:05.59,1:55.89,1:51.09,1:46.29,1:41.39
15-16,Girls,400 FR-R,SCY,4:54.89,4:33.79,4:12.79,4:02.29,3:51.69,3:41.19
15-16,Girls,800 FR-R,SCY,10:47.79,10:01.59,9:15.29,8:52.19,8:28.99,8:05.89
15-16,Girls,200 MED-R,SCY,2:28.09,2:17.49,2:06.99,2:01.69,1:56.39,1:51.09
15-16,Girls,400 MED-R,SCY,5:23.29,5:00.19,4:37.09,4:25.59,4:13.99,4:02.49
15-16,Boys,50 FR,SCY,28.29,26.29,24.19,23.19,22.19,21.19
15-16,Boys,100 FR,SCY,1:01.99,57.59,53.19,50.99,48.79,46.49
15-16,Boys,200 FR,SCY,2:15.99,2:06.29,1:56.59,1:51.79,1:46.89,1:41.99
15-16,Boys,500 FR,SCY,6:08.39,5:42.09,5:15.79,5:02.69,4:49.49,4:36.29
15-16,Boys,1000 FR,SCY,12:51.79,11:56.69,11:01.59,10:33.99,10:06.39,9:38.89
15-16,Boys,1650 FR,SCY,21:26.59,19:54.69,18:22.79,17:36.89,16:50.89,16:04.99
15-16,Boys,100 BK,SCY,1:07.49,1:02.69,57.89,55.49,53.09,50.69
15-16,Boys,200 BK,SCY,2:27.59,2:17.09,2:06.59,2:01.29,1:55.99,1:50.69
15-16,Boys,100 BR,SCY,1:16.89,1:11.39,1:05.89,1:03.19,1:00.39,57.69
15-16,Boys,200 BR,SCY,2:47.09,2:35.19,2:23.19,2:17.29,2:11.29,2:05.29
15-16,Boys,100 FL,SCY,1:07.19,1:02.39,57.59,55.19,52.79,50.39
15-16,Boys,200 FL,SCY,2:30.19,2:19.49,2:08.79,2:03.39,1:58.09,1:52.69
15-16,Boys,200 IM,SCY,2:30.89,2:20.19,2:09.39,2:03.99,1:58.59,1:53.19
15-16,Boys,400 IM,SCY,5:22.19,4:59.19,4:36.19,4:24.69,4:13.19,4:01.59
15-16,Boys,200 FR-R,SCY,2:01.79,1:53.09,1:44.39,1:40.09,1:35.69,1:31.39
15-16,Boys,400 FR-R,SCY,4:28.79,4:09.59,3:50.39,3:40.79,3:31.19,3:21.59
15-16,Boys,800 FR-R,SCY,9:57.09,9:14.39,8:31.79,8:10.39,7:49.09,7:27.79
15-16,Boys,200 MED-R,SCY,2:14.19,2:04.59,1:54.99,1:50.19,1:45.49,1:40.69
15-16,Boys,400 MED-R,SCY,4:54.19,4:33.19,4:12.19,4:01.69,3:51.19,3:40.69
17-18,Girls,50 FR,SCY,31.39,29.09,26.89,25.79,24.69,23.49
17-18,Girls,100 FR,SCY,1:08.09,1:03.19,58.39,55.89,53.49,51.09
17-18,Girls,200 FR,SCY,2:27.19,2:16.69,2:06.19,2:00.89,1:55.69,1:50.39
17-18,Girls,500 FR,SCY,6:36.49,6:08.19,5:39.89,5:25.69,5:11.59,4:57.39
17-18,Girls,1000 FR,SCY,13:46.09,12:47.09,11:48.09,11:18.59,10:49.09,10:19.59
17-18,Girls,1650 FR,SCY,22:47.19,21:09.59,19:31.89,18:43.09,17:54.29,17:05.39
17-18,Girls,100 BK,SCY,1:13.39,1:08.09,1:02.89,1:00.29,57.69,54.99
17-18,Girls,200 BK,SCY,2:38.79,2:27.39,2:16.09,2:10.39,2:04.79,1:59.09
17-18,Girls,100 BR,SCY,1:24.79,1:18.79,1:12.69,1:09.69,1:06.69,1:03.59
17-18,Girls,200 BR,SCY,3:04.69,2:51.49,2:38.29,2:31.69,2:25.09,2:18.49
17-18,Girls,100 FL,SCY,1:13.59,1:08.29,1:03.09,1:00.39,57.79,55.19
17-18,Girls,200 FL,SCY,2:42.79,2:31.19,2:19.49,2:13.69,2:07.89,2:02.09
17-18,Girls,200 IM,SCY,2:43.59,2:31.89,2:20.19,2:14.39,2:08.49,2:02.69
17-18,Girls,400 IM,SCY,5:50.69,5:25.59,5:00.59,4:47.99,4:35.49,4:22.99
17-18,Girls,200 FR-R,SCY,2:14.69,2:05.09,1:55.39,1:50.59,1:45.79,1:40.99
17-18,Girls,400 FR-R,SCY,4:49.49,4:28.79,4:08.19,3:57.79,3:47.49,3:37.19
17-18,Girls,800 FR-R SCY,10:32.29,9:47.19,9:01.99,8:39.39,8:16.79,7:54.29
17-18,Girls,200 MED-R SCY,2:26.89,2:16.39,2:05.89,2:00.69,1:55.39,1:50.19
17-18,Girls,400 MED-R SCY,5:20.29,4:57.39,4:34.49,4:23.09,4:11.69,4:00.19
17-18,Boys,50 FR,SCY,27.59,25.59,23.59,22.59,21.69,20.69
17-18,Boys,100 FR,SCY,1:00.29,55.99,51.69,49.59,47.39,45.29
17-18,Boys,200 FR,SCY,2:13.59,2:03.99,1:54.49,1:49.69,1:44.99,1:40.19
17-18,Boys,500 FR,SCY,6:03.19,5:37.29,5:11.39,4:58.39,4:45.39,4:32.39
17-18,Boys,1000 FR,SCY,12:40.19,11:45.89,10:51.59,10:24.49,9:57.29,9:30.19
17-18,Boys,1650 FR,SCY,21:08.99,19:38.39,18:07.69,17:22.39,16:37.09,15:51.79
17-18,Boys,100 BK,SCY,1:05.19,1:00.59,55.89,53.59,51.29,48.89
17-18,Boys,200 BK,SCY,2:23.89,2:13.59,2:03.29,1:58.19,1:53.09,1:47.89
17-18,Boys,100 BR,SCY,1:14.69,1:09.39,1:03.99,1:01.39,58.69,55.99
